Date_Collected,Time_Collected,Site_ID,Reporting_Result
8/25/2022,9:55:00 AM,1NBS,200
8/25/2022,9:20:00 AM,2LARZ,40
8/25/2022,9:00:00 AM,3BU,100
8/25/2022,8:33:00 AM,4LONG,80
9/1/2022,9:50:00 AM,1NBS,180
9/1/2022,9:15:00 AM,2LARZ,40
9/1/2022,9:00:00 AM,3BU,80
9/1/2022,8:40:00 AM,4LONG,10
9/8/2022,9:53:00 AM,1NBS,70
9/8/2022,9:20:00 AM,2LARZ,160
9/8/2022,9:04:00 AM,3BU,90
9/8/2022,8:42:00 AM,4LONG,100
9/15/2022,10:07:00 AM,1NBS,180
9/15/2022,9:48:00 AM,2LARZ,60
9/15/2022,9:32:00 AM,3BU,140
9/15/2022,9:12:00 AM,4LONG,40
9/29/2022,9:55:00 AM,1NBS,160
9/29/2022,9:30:00 AM,2LARZ,110
9/29/2022,9:13:00 AM,3BU,130
9/29/2022,8:56:00 AM,4LONG,40
10/6/2022,10:24:00 AM,1NBS,400
10/6/2022,10:01:00 AM,2LARZ,200
10/6/2022,9:37:00 AM,3BU,290
10/6/2022,9:21:00 AM,4LONG,1140
10/13/2022,9:53:00 AM,1NBS,140
10/13/2022,9:40:00 AM,2LARZ,40
10/13/2022,9:30:00 AM,3BU,100
10/13/2022,9:18:00 AM,4LONG,40
